"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
81228,"Ventura County, CA, USA","California, USA","United States","34.27241, -119.28305","Land (beach, shoreline and inland)",2019-09-21,,1,0,1,19.72,1.0812,0,140,9,6,12,58,0,3,3,7,4,5,8,7,0,0,0,6,0,0,0,0,0,15,0,0,0,0,0,8,0,2,0,0,0,0,0,4,11,0,0,0,0,44,0,0,12,364
81229,"San Mateo County, CA, USA","California, USA","United States","37.60363, -122.37227","Land (beach, shoreline and inland)",2019-09-21,,3,0,3,1.07,0.0766,0,10,3,0,0,0,0,6,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,35
81231,"San Diego County, CA, USA","California, USA","United States","32.79122, -117.17003","Land (beach, shoreline and inland)",2019-09-21,,5,0,5,57.34,1.3932,0,403,13,6,2,17,0,0,10,6,6,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,10,0,0,0,0,0,0,390,0,0,0,0,0,0,0,45,947
81233,"Los Angeles County, CA, USA","California, USA","United States","34.00499, -118.49308","Land (beach, shoreline and inland)",2019-09-21,,1,0,1,0.23,0.3229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
81234,"Orange County, CA, USA","California, USA","United States","33.40652, -117.60671","Land (beach, shoreline and inland)",2019-09-21,Calafia,2,0,2,7,0.1155,0,20,10,0,0,4,0,1,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,57,115
81236,"San Diego County, CA, USA","California, USA","United States","32.62137, -117.09555","Land (beach, shoreline and inland)",2019-09-21,,2,0,2,4.73,3.7338,0,126,4,0,0,1,0,0,4,0,0,2,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,154
81239,"Los Angeles County, CA, USA","California, USA","United States","34.03669, -118.67742","Land (beach, shoreline and inland)",2019-09-21,SMBAS,1,0,1,7.64,0.2591,0,65,15,1,0,4,0,2,3,0,1,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,40,0,0,0,0,3,0,0,0,144
81240,"San Francisco County, CA, USA","California, USA","United States","37.72803, -122.39044","Land (beach, shoreline and inland)",2019-09-21,"SF Clean Team",1,0,1,7.02,0.0584,0,48,0,15,6,29,0,10,2,42,4,0,0,32,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,88,298
81242,"Los Angeles County, CA, USA","California, USA","United States","34.11658, -118.27156","Land (beach, shoreline and inland)",2019-09-21,"PCC 74620",3,0,3,20.47,0.0021,0,12,10,9,11,17,0,14,7,3,11,4,0,16,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,7,65,0,0,0,0,3,0,0,50,268
81243,"Los Angeles County, CA, USA","California, USA","United States","33.88503, -118.41284","Land (beach, shoreline and inland)",2019-09-21,"Trash Trio",3,0,3,1.11,0.8334,0,4,5,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,25
